name,almaMater,networth
Michael Moritz,"['Christ Church Oxford', 'Wharton School of the University of Pennsylvania']",3.0E9
Mario Gabelli,"['Columbia Business School', 'Fordham University']",1.1E9
Marjorie Yang,"['Massachusetts Institute of Technology', 'Harvard Business School']",1.0E9
Mark Pears,Harvard Business School,2.1E9
Mark Pincus,"['University of Pennsylvania', 'Harvard University']",1.1E9
Mark Pincus,"['University of Pennsylvania', 'Harvard University']",1.1E9
Mark Stevens (venture capitalist),"['University of Southern California', 'Harvard University']",1.83E9
Mark Zuckerberg,Harvard University,4.6E10
Mortimer Zuckerman,"['Wharton School of the University of Pennsylvania', 'McGill University', 'Harvard Law School', 'Bachelor of Civil Law']",2.4E9
Mortimer Zuckerman,"['Wharton School of the University of Pennsylvania', 'McGill University', 'Harvard Law School', 'Bachelor of Civil Law']",2.4E9
Patrick Soon-Shiong,"['University of California Los Angeles', 'University of British Columbia', 'University of the Witwatersrand']",1.18E10
Paul Singer (businessman),"['University of Rochester', 'Juris Doctor', 'Bachelor of Science', 'Harvard Law School']",2.1E9
Peter B. Lewis,Princeton University,1.25E9
Peter Buck (restaurateur),"['Columbia University', 'Bowdoin College', 'Doctor of Humane Letters']",2.6E9
Peter Livanos,Columbia University,7.0E9
Peter Lynch,"['Boston College', 'Wharton School of the University of Pennsylvania']",3.52E8
Phillip Ean Cohen,"['University of Melbourne', 'Harvard Business School']",500.0
Robert D. Ziff,"['Cornell University', 'Harvard University']",5.0E9
Robert D. Ziff,"['Cornell University', 'Harvard University']",5.0E9
Robert J. Fisher,"['Princeton University', 'Stanford University']",1.6E9
Robert L. Johnson,"['Princeton University', 'University of Illinois at Urbana–Champaign']",5.5E8
Roberto Civita,Wharton School of the University of Pennsylvania,4.9E9
Ron Daniel,"['Wesleyan University', 'Harvard Business School']",50.0
Ronald Mourad Cohen,"['University of Oxford', 'Harvard Business School']",2.2E8
Randy Lerner,"['Columbia University', 'Columbia Law School']",1.1E9
Randy Lerner,"['Columbia University', 'Columbia Law School']",1.1E9
Richard LeFrak,"['Columbia University', 'Amherst College']",6.5E9
Rahul Bajaj,Harvard Business School,2.7E9
Raj Rajaratnam,Wharton School of the University of Pennsylvania,1.8E9
Rajat Gupta,"['Indian Institute of Technology Delhi', 'Harvard Business School']",1.0E8
Sean Healey,"['Harvard College', 'Harvard Law School']",1.0E8
Sean Healey,"['Harvard College', 'Harvard Law School']",1.0E8
Seth Klarman,"['Cornell University', 'Harvard Business School']",1.35E9
Seth Klarman,"['Cornell University', 'Harvard Business School']",1.35E9
Sheryl Sandberg,"['Harvard University', 'Master of Business Administration']",1.31E9
Shin Dong-bin,"['Columbia University', 'Aoyama Gakuin University']",1.48E9
Stephen A. Jarislowsky,"['Cornell University', 'Harvard Business School']",1.6E9
Stephen A. Jarislowsky,"['Cornell University', 'Harvard Business School']",1.6E9
Stephen A. Schwarzman,"['Yale University', 'Harvard Business School']",9.7E9
Steve Ballmer,"['Stanford Graduate School of Business', 'Harvard University']",2.4E10
Steve Feinberg,Princeton University,1.25E9
Steve Wynn,University of Pennsylvania,2.3E9
Steven A. Cohen,Wharton School of the University of Pennsylvania,1.2E10
Steven A. Kandarian,"['Georgetown University', 'Clark University', 'Harvard Business School']",1.37E7
Sanford I. Weill,Cornell University,1.0E9
Thomas W. Lamont,"['Phillips Exeter Academy', 'Harvard University']",2.5E7
Tony Hsieh,Harvard University,8.4E8
Ted Turner,Brown University,2.2E9
Terrence Pegula,Pennsylvania State University,4.0E9
Victor Fung,"['Massachusetts Institute of Technology', 'Harvard Business School']",2.9E9
Warren Buffett,"['Columbia Business School', 'University of Nebraska–Lincoln']",6.1E10
William Nelson Cromwell,Columbia Law School,1.5E7
William Randolph Hearst III,Harvard University,1.8E9
William S. Fisher,"['Princeton University', 'Stanford University']",1.55E9
Yuri Milner,"['Wharton School of the University of Pennsylvania', 'Moscow State University']",3.1E9
