name,almaMater,networth
Sean Healey,"['Harvard College', 'Harvard Law School']",1.0E8
Semahat Sevim Arsel,Robert College,2.4E9
Serge Pun,Basic Education High School No. 6 Botataung,5.0E8
Sergei Viktorovich Popov,Ural State Technical University,4.6E9
Sergey Brin,"['Stanford University', 'University of Maryland College Park', 'Doctor of Philosophy']",3.54E10
Seth Klarman,"['Cornell University', 'Harvard Business School']",1.35E9
Seymour Schulich,McGill University,1.75E9
Shahid Khan,University of Illinois at Urbana–Champaign,6.4E9
Shane Smith (journalist),"['Carleton University', 'Lisgar Collegiate Institute']",1.27E9
Shawn Fanning,Northeastern University,7500000.0
Sheila Johnson,University of Illinois at Urbana–Champaign,1.0E9
Sheldon Adelson,City College of New York,2.58E10
Shelim Hussain,"['Coleg Glan Hafren', 'List of places in Cardiff']",8.0E7
Sheryl Sandberg,"['Harvard University', 'Master of Business Administration']",1.31E9
Shi Yuzhu,"['Zhejiang University', 'Shenzhen University']",4.0E9
Shi Zhengrong,"['University of New South Wales', 'Changchun University of Science and Technology']",2.9E9
Shin Dong-bin,"['Columbia University', 'Aoyama Gakuin University']",1.48E9
Shiv Nadar,PSG College of Technology,1.19E10
Simon Keswick,Trinity College Cambridge,1.75E9
Simon Nixon,University of Nottingham,9.45E8
Sokratis Kokkalis,Humboldt University of Berlin,1.2E9
Song Weiping,Zhejiang University,1.22E9
Sri Prakash Lohia,University of Delhi,4.2E9
Stanley Druckenmiller,Bowdoin College,4.4E9
Stefano Gabbana,Istituto Superiore per le Industrie Artistiche,1.56E9
Stefano Pessina,Polytechnic University of Milan,1.38E10
Stelios Haji-Ioannou,"['London School of Economics', 'Cass Business School']",1.76E9
Stephanie McMahon,Boston University,5.4E7
Stephen A. Jarislowsky,"['Cornell University', 'Harvard Business School']",1.6E9
Stephen A. Schwarzman,"['Yale University', 'Harvard Business School']",9.7E9
Stephen Hillenburg,"['California Institute of the Arts', 'Humboldt State University']",9.0E7
Stephen M. Ross,"['University of Michigan', 'Wayne State University', 'New York University']",6.7E9
Stephen Rubin,University College London,1.75E9
Steve Ballmer,"['Stanford Graduate School of Business', 'Harvard University']",2.4E10
Steve Case,Williams College,1.37E9
Steve Chen,University of Illinois at Urbana–Champaign,3.0E8
Steve Ells,"['University of Colorado Boulder', 'The Culinary Institute of America']",4.0E8
Steve Kirsch,Massachusetts Institute of Technology,2.3E8
Steve Wozniak,"['University of California Berkeley', 'De Anza College']",1.0E8
Steven A. Kandarian,"['Georgetown University', 'Clark University', 'Harvard Business School']",1.37E7
Steven F. Udvar-Házy,University of California Los Angeles,3.7E9
Steven M. Rales,"['DePauw University', 'Juris Doctor']",3.8E9
Steven Spielberg,California State University Long Beach,3.6E9
S. D. Shibulal,"['Boston University', 'University of Kerala']",1.08E9
S. Truett Cathy,Henry W. Grady High School,4.2E9
Sachin Bansal,Indian Institute of Technology Delhi,1.3E9
Sadruddin Hashwani,University of Karachi,1.1E9
Saleh Abdullah Kamel,King Abdulaziz University,2.3E9
Sam Goi,Dunman High School,2.1E9
Sam Zell,"['Juris Doctor', 'Bachelor of Arts']",4.8E9
Sameer Gehlaut,Indian Institute of Technology Delhi,1.23E9
Samprada Singh,Patna University,2.0E9
Sanela Diana Jenkins,"['University of London', 'University of Sarajevo']",1.5E8
Suat Günsel,Middle East Technical University,1.1E9
Suleyman Kerimov,english.html,3.7E9
Sultan bin Mohammed bin Saud Al Kabeer,King Saud University,3.5E9
Sunil Kant Munjal,The Doon School,100000.0
Sunil Mittal,Panjab University Chandigarh,7.3E9
Swraj Paul Baron Paul,"['Massachusetts Institute of Technology', 'Forman Christian College']",2.0E9
Theodore Angelopoulos,University of Zurich,6.3E8
Thomas J. Autzen,Oregon State University,2800000.0
Thomas Peterffy,Clark University,1.09E10
Thomas Secunda,Binghamton University,1.9E9
Thomas Siebel,"['University of Illinois at Urbana–Champaign', 'Master of Business Administration', 'Bachelor of Arts']",2.0E9
Thomas W. Lamont,"['Phillips Exeter Academy', 'Harvard University']",2.5E7
Tim Cook,"['Duke University', 'Auburn University', 'Master of Business Administration', 'Bachelor of Science']",7.85E8
Timur Kulibayev,Moscow State University,2.1E9
Tom Benson,Loyola University New Orleans,2.2E9
Tom Golisano,Alfred State College,1.9E9
Tom Gores,Michigan State University,3.3E9
Tom Steyer,"['Stanford Graduate School of Business', 'Yale College']",1.6E9
Tony Fernandes,London School of Economics,2.3E8
Tony Tan (entrepreneur),University of Santo Tomas,2.6E9
Tuncay Özilhan,"['Long Island University', 'Istanbul University']",1.6E9
Ty Warner,Kalamazoo College,2.5E9
T. Boone Pickens,Oklahoma State University–Stillwater,1.0E9
T. Denny Sanford,University of Minnesota,1.4E9
T. S. Kalyanaraman,Sree Kerala Varma College,1.0E9
Taizo Son,University of Tokyo,1.2E9
Tamara Gustavson,University of Southern California,4.3E9
Ted Leonsis,Georgetown University,1.0E9
Ted Lerner,"['George Washington University', 'George Washington University Law School']",5.2E9
Vagit Alekperov,Azerbaijan State University of Oil and Industry,1.14E10
Vardis Vardinogiannis,Hellenic Naval Academy,7.112E8
Viatcheslav Moshe Kantor,Moscow Aviation Institute,2.3E9
Victor Fung,"['Massachusetts Institute of Technology', 'Harvard Business School']",2.9E9
Victor Muller,Leiden University,7500000.0
Vince Gilligan,Tisch School of the Arts,1.5E7
Vincent Tchenguiz,"['Boston University', 'New York University', 'McGill University']",8.5E8
Vincent Viola,"['United States Military Academy', 'New York Law School']",2.2E9
Vinod Khosla,"['Carnegie Mellon University', 'Stanford Graduate School of Business', 'Indian Institute of Technology Delhi']",1.5E9
Vladimir Makhlai,Perm_Polytechnic_Institute,1.0E9
Vladimir Potanin,Moscow State Institute of International Relations,12.7
Walid Juffali,"['Imperial College London', 'University of San Diego']",4.0E9
Wang Chuanfu,"['Central South University', 'Beijing_Non-Ferrous_Research_Institute']",4.7E9
Wang Wenjing,Jiangxi University of Finance and Economics,2.7E9
Wang Yusuo,"['Renmin University of China', 'Tianjin University']",3.2E9
Warren Buffett,"['Columbia Business School', 'University of Nebraska–Lincoln']",6.1E10
Wendy Williams,Northeastern University,6.0E7
Whitney MacMillan,Yale University,4.6E9
William S. Fisher,"['Princeton University', 'Stanford University']",1.55E9
Wolfgang Marguerre,"['Heidelberg University', 'INSEAD']",2.8E9
Xu Ming,"['Dongbei University of Finance and Economics', 'Shenyang Aerospace University']",4.9E8
Xue Xiangdong,Hunan University,2.3E9
Yuri Milner,"['Wharton School of the University of Pennsylvania', 'Moscow State University']",3.1E9
Yvonne Bauer,University of Bamberg,2.7E9
Yang Huiyan,Ohio State University,5.1E9
Yang Yuanqing,"['University of Science and Technology of China', 'Shanghai Jiao Tong University']",1.25E9
Yiorgos Vardinogiannis,Hellenic Naval Academy,1.5E9
Yoel Bouza,Florida International University,1.5E8
Zhang Jindong,Nanjing Normal University,5.5E9
Zhang Xin (businesswoman),"['University of Sussex', 'University of Cambridge']",3.6E9
Zhang Zhixiang,Zhejiang University,2.8E9
Zhou Chengjian,Zhejiang University,1.9E9
Zhou Hongyi,Xi'an Jiaotong University,1.4E9
Ziyavudin Magomedov,Moscow State University,3.0E9
