name,almaMater,networth
David Rockefeller,"['University of Chicago', 'London School of Economics', 'Harvard University']",3.0E9
David Ross (businessman),University of Nottingham,1.0E9
David Rubenstein,"['University of Chicago', 'Duke University']",2.5E9
David Tepper,"['Carnegie Mellon University', 'University of Pittsburgh']",1.14E10
DeShawn Snow,Michigan State University,1500000.0
DeVon Franklin,University of Southern California,1000000.0
Deborah Meaden,City College Brighton & Hove,4.0E7
Dee Haslam,University of Tennessee,1.8E9
Denis O'Brien,"['Boston College', 'University College Dublin']",5.8E9
Denise Coates,University of Sheffield,3.9E9
Dick Enthoven,"['University of Southern California', 'London School of Economics']",1.1E9
Diego Della Valle,University of Bologna,1.6E9
Dilip Shanghvi,University of Calcutta,1.75E10
Ding Lei,University of Electronic Science and Technology of China,1.06E10
Ding Shijia,Fujian_Institute_of_Economics_and_Management,1.0E9
Dirk Edward Ziff,"['Columbia University', 'Harvard University']",5.0E9
Dmitry Mazepin,Moscow State Institute of International Relations,1.4E9
Dmitry Troitsky,Leningrad_Shipbuilding_Institute,1.0E9
Don Hankey,University of Southern California,2.3E9
Donald Bren,University of Washington,1.51E10
Donald Fisher,University of California Berkeley,3.3E9
Donald Sterling,"['California State University Los Angeles', 'Southwestern Law School']",3.1E9
Dorabji Tata,"['University of Mumbai', 'Gonville and Caius College Cambridge']",1.0E7
Drew Houston,Massachusetts Institute of Technology,1.3E9
Dan Gilbert (businessman),"['Michigan State University', 'Wayne State University Law School']",3.9E9
Daniel A. D'Aniello,"['Syracuse University', 'Harvard Business School']",3.0E9
Daniel Willis James,Amherst College,2.6E7
Şevket Sabancı,University of Manchester Institute of Science and Technology,7.0
Edgar Bronfman Sr.,"['Williams College', 'McGill University']",2.6E9
Edward P. Roski,"['University of Southern California', 'Bachelor of Science']",4.0E9
Edwin Soeryadjaya,University of Southern California,1.0
Eike Batista,RWTH Aachen University,9.0E8
Elaine Wynn,George Washington University,1.2E9
Eli Broad,Michigan State University,7.4E9
Eliodoro Matte,"['Booth School of Business', 'Pontifical Catholic University of Chile']",2.7E9
Elizabeth Holmes,Stanford University,3.6E9
Elizabeth Noyce,Tufts University,1.0E8
Ellis Short,Missouri University of Science and Technology,2.4E9
Elwood Haynes,"['Johns Hopkins University', 'Worcester Polytechnic Institute']",2850000.0
Emil Hurezeanu,"['University of Virginia', 'Boston University', 'Babeș-Bolyai University']",6.0
Emilio Azcárraga Jean,"['Universidad Iberoamericana', 'Lakefield College School']",2.0E9
Emilio Botín,University of Deusto,1.1E9
Eric R. George,"['Michigan State University', 'Marshall University']",2.25E8
Eric Trump,Georgetown University,1.5E8
Erick Thohir,"['Glendale Community College (California)', 'National University (California)']",9.6E8
Ernesto Bertarelli,"['Babson College', 'Harvard Business School']",8.7E9
Erol Sabancı,Harris Manchester College Oxford,1.3E9
Eugene Kaspersky,"['Moscow State University', 'Institute of Cryptography Telecommunications and Computer Science']",1.04E9
Eugene Shvidler,"['Fordham University', 'Gubkin Russian State University of Oil and Gas']",1.2E9
Eugenio Lopez III,"['Bowdoin College', 'Harvard Business School']",9.0E7
Eva Gonda de Rivera,Monterrey Institute of Technology and Higher Education,6.8E9
Francois-Xavier Souvay,HEC Montréal,1.15E8
Frank Batten,"['University of Virginia', 'Harvard University']",2.3E9
Frank Fertitta III,University of Southern California,1.4E9
Frank Rainieri,Saint Joseph's University,1.0E9
François-Henri Pinault,HEC Paris,1.38E10
Fred DeLuca,University of Bridgeport,3.5E9
Frederick W. Smith,Yale University,3.6E9
Fahd Hariri,École Spéciale d'Architecture,1.07E9
Farhad Moshiri (businessman),University College London,1.84E9
Fazle Hasan Abed,"['University of Glasgow', 'Dhaka College']",2.7E9
Florentino Pérez,Technical University of Madrid,2.0E9
Gautam Singhania,Cathedral and John Connon School,1.4E9
Geoffrey Edelsten,University of Melbourne,6.3E7
George Kaiser,"['Harvard College', 'Harvard Business School']",7.1E9
George P. Mitchell,Texas A&M University,2.0E9
George R. Roberts,"['University of California Hastings College of the Law', 'Claremont McKenna College']",5.1E9
George Soros,London School of Economics,2.45E10
Gerald J. Ford,Southern Methodist University,2.1E9
Gianfelice Rocca,"['University of Milan', 'Harvard Business School']",4.7E9
Gina Rinehart,University of Sydney,9.8E9
Galen Weston,University of Western Ontario,9.8E9
Glenn Dubin,Stony Brook University,2.0E9
Gordon McLendon,"['Yale University', 'Harvard Law School']",2.5E8
Graeme Hart,"['University of Otago', 'Master of Business Administration']",8.1E9
Greg Coffey,Macquarie University,7.43E8
Guo Guangchang,Fudan University,7.3E9
Gustavo Cisneros,"['Babson College', 'Suffield Academy']",4.0E9
Gwen Stefani,California State University Fullerton,8.0E7
Hiroshi Mikitani,"['Hitotsubashi University', 'Harvard University']",8.7E9
Hiroshi Yamauchi,Waseda University,2.5E9
Howard Marks (investor),"['University of Chicago', 'Wharton School of the University of Pennsylvania']",2.0E9
Howard Schultz,Northern Michigan University,2.9E9
Hüsnü Özyeğin,"['Oregon State University', 'Harvard University']",2.7E9
Hans Rausing,Lund University,1.25E10
Hansjörg Wyss,"['ETH Zurich', 'Harvard Business School']",6.1E9
Harindarpal Banga,Dufferin_(school),1.3E9
Harold Simmons,University of Texas at Austin,1.0E10
Hassan Khosrowshahi,University of Tehran,9.4E8
Heinz Bauer (publisher),University of Hamburg,1.9E9
Helen Walton,University of Oklahoma,1.64E10
Henadiy Boholyubov,Prydniprovska State Academy of Civil Engineering and Architecture,1.8E9
Henry Kravis,"['Columbia Business School', 'Claremont McKenna College']",4.8E9
Henry Nicholas,"['University of California Los Angeles', 'Electrical engineering']",1.7E9
Henry Samueli,University of California Los Angeles,2.4E9
Henry Swieca,"['Columbia Business School', 'Stony Brook University']",1.3E9
Herbert Simon (real estate),City College of New York,2.9E9
Ian Davis (businessman),"['University of Oxford', 'Balliol College Oxford']",50.0
Ian Livingstone (property developer),City University London,2.6E9
Ian Wood (businessman),University of Aberdeen,2.15E9
Igor Zyuzin,Tula_Polytechnic_Institute,1.8E9
Indra Nooyi,"['Indian Institute of Management Calcutta', 'Madras Christian College', 'Yale School of Management']",1.44E8
Ira Rennert,"['Brooklyn College', 'New York University']",6.1E9
Irvine Laidlaw Baron Laidlaw,"['Columbia Business School', 'University of Leeds']",7.45E8
Irwin M. Jacobs,"['Massachusetts Institute of Technology', 'Cornell University', 'Doctor of Science']",1.23E9
Isabel dos Santos,King's College London,3.4E9
Iskander Makhmudov,Tashkent University of Information Technologies,6.5E9
Israel Englander,New York University,4.8E9
Ivica Todorić,University of Zagreb,5.73E8
Jim Balsillie,"['Wilfrid Laurier University', 'University of Toronto', 'Harvard Business School']",8.0E8
Jim Ratcliffe,"['University of Birmingham', 'London Business School']",3.2E9
Jimmy Haslam,University of Tennessee,3.0E9
Joe Craft,University of Kentucky,1.4E9
Joe Ricketts,Creighton University,1.0E9
Joe Robbie,"['Northern State University', 'University of South Dakota School of Law']",1.0E8
John Coates (businessman),University of Bristol,1.94E9
John Doerr,"['Rice University', 'Harvard Business School']",4.1E9
James Pallotta,"['University of Massachusetts Amherst', 'Northeastern University']",1.0E9
Jamie Dimon,"['Tufts University', 'Harvard Business School']",1.1
Jamsetji Tata,Elphinstone College,1000000.0
Jamshyd Godrej,Illinois Institute of Technology,4.8E9
Jan Koum,San Jose State University,8.6E9
Jane Wanjiru Michuki,"['University of Warwick', 'University of Nairobi', 'Kenya School of Law']",50.0
Jean Claude Gandur,"['University of Lausanne', 'Pantheon-Sorbonne University']",2.3E9
Jean Coutu (pharmacist),Université de Montréal,2.3E9
Jeff Greene,"['Johns Hopkins University', 'Harvard Business School']",3.0E9
Jeffrey Kang,South China University of Technology,1.2E9
Jeffrey Katzenberg,Ethical Culture Fieldston School,9.57E8
Jeffrey Lorberbaum,Bachelor of Arts,1.7E9
Jeffrey Lurie,"['Boston University', 'Brandeis University', 'Clark University']",1.64E9
Jenni Rivera,"['California State University', 'Long Beach City College']",3.0E8
Jeremy Jacobs,University at Buffalo,3.6E9
Jerome Kohlberg Jr.,"['Swarthmore College', 'Columbia Law School', 'Harvard Business School']",1.2E9
Jerry Bruckheimer,University of Arizona,8.5E8
John Hagee,"['University of North Texas', 'Trinity University (Texas)']",5000000.0
John Hugh MacMillan,University of Minnesota,1.7E9
John J. Fisher,"['Princeton University', 'Stanford University']",2.4E9
John Mackey (businessman),University of Texas at Austin,1.0E8
John Morgridge,"['Stanford University', 'University of Wisconsin–Madison']",1.0E9
John Ordronaux (doctor),"['Dartmouth College', 'Harvard Law School', 'National_Medical_School']",2757000.0
John Paulson,"['New York University', 'Harvard Business School', 'Master of Business Administration', 'Bachelor of Science']",9.8E9
John Riccitiello,University of California Berkeley,1.0E7
John Sainsbury Baron Sainsbury of Preston Candover,Worcester College Oxford,1.3E9
John Tu,Technische Universität Darmstadt,4.6E9
Johnnie Boden,Oriel College Oxford,3.0E8
Jonathan Harmsworth 4th Viscount Rothermere,Duke University,1.37E9
Jonathan Ive,Northumbria University,1.3E8
Jorge Gerdau Johannpeter,Federal University of Rio Grande do Sul,9.26E8
Joseph Grendys,Loyola University Chicago,1.74E9
Joseph Lau,University of Windsor,1.31E10
Joseph Parnes,University of Louisiana at Lafayette,1.4E8
