name,ivy_league,education,networth,birthYear
Jon Oringer,True,"['Columbia University', 'Stony Brook University']",1.0E9,1974
Jonathan D. Gray,True,['University of Pennsylvania'],1.66E9,1970
Jonathan M. Nelson,True,"['Brown University', 'Harvard Business School']",1.76E9,1956
Jorge Paulo Lemann,True,['Harvard University'],2.82E10,1939
Joshua Harris (businessman),True,"['Wharton School of the University of Pennsylvania', 'Harvard Business School']",2.4E9,1965
J. Christopher Flowers,True,['Harvard University'],1.4E9,1957
Jacky Xu,True,"['Nanyang Technological University', 'University of Liverpool', 'Harvard University']",1000000.0,1984
Jaime Aristotle Alip,True,"['University of the Philippines', 'Harvard Business School']",6000000.0,1957
Jaime Gilinski Bacal,True,['Harvard Business School'],2.9E9,1957
James Dinan,True,"['University of Pennsylvania', 'Harvard University']",1.6E9,1959
Ken Moelis,True,['Wharton School of the University of Pennsylvania'],3.86E8,1958
Kenneth C. Griffin,True,['Harvard University'],7.3E9,1968
Keshub Mahindra,True,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']",6.15E8,1923
Larry Robbins,True,['University of Pennsylvania'],2.3E9,1969
Laurene Powell Jobs,True,"['University of Pennsylvania', 'Stanford Graduate School of Business', 'Master of Business Administration', 'Bachelor of Science', 'Bachelor of Arts']",1.67E10,1963
Lee Jae-yong,True,"['Seoul National University', 'Keio University', 'Harvard Business School']",7.9E9,1968
Leon Black,True,"['Dartmouth College', 'Harvard Business School']",4.5E9,1951
Leon G. Cooperman,True,"['Columbia University', 'Hunter College']",3.7E9,1943
Leonard Blavatnik,True,"['Columbia University', 'Moscow State University of Railway Engineering', 'Harvard University']",1.68E10,1957
Leonard Lauder,True,"['Columbia University', 'University of Pennsylvania']",9.1E9,1933
Leonard Schleifer,True,"['University of Virginia', 'Cornell University']",1.0E9,1953
Louis Bacon,True,"['Columbia Business School', 'Middlebury College']",1.81E9,1956
Louis V. Gerstner Jr.,True,"['Dartmouth College', 'Harvard Business School']",6.3E8,1942
Marc Rowan,True,['Wharton School of the University of Pennsylvania'],2.83E9,1962
Marcel Herrmann Telles,True,"['Federal University of Rio de Janeiro', 'Harvard University']",1.28E10,1950
Marcos Galperin,True,"['Stanford University', 'Wharton School of the University of Pennsylvania']",4.0E8,1971
Meg Whitman,True,"['Princeton University', 'Harvard Business School']",2.1E9,1956
Mario Gabelli,True,"['Columbia Business School', 'Fordham University']",1.1E9,1942
Marjorie Yang,True,"['Massachusetts Institute of Technology', 'Harvard Business School']",1.0E9,1952
Mark Pears,True,"['Harvard Business School', 'City of London School']",2.1E9,1962
Mark Pincus,True,"['University of Pennsylvania', 'Harvard University']",1.1E9,1966
Mark Zuckerberg,True,['Harvard University'],4.6E10,1984
Martin Sorrell,True,"[""Christ's College Cambridge"", ""Haberdashers' Aske's Boys' School"", 'Harvard University']",2.57E8,1945
Matt Cohler,True,['Yale University'],7.0E8,1977
